Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/grpc-202308204,6671,0,120.0,128.8317656750152,98.48461199999292,2509.131067999988,15.0,112.98175634000545,0.0,120,120,130,140,140,150,270,400,740,2500,2500
,Aggregated,6671,0,120.0,128.8317656750152,98.48461199999292,2509.131067999988,15.0,112.98175634000545,0.0,120,120,130,140,140,150,270,400,740,2500,2500
