Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/grpc-202308204,6710,0,120.0,126.09706419895349,98.33311100010178,3134.723385000143,15.0,113.61028400714244,0.0,120,120,130,130,140,150,200,310,1500,3100,3100
,Aggregated,6710,0,120.0,126.09706419895349,98.33311100010178,3134.723385000143,15.0,113.61028400714244,0.0,120,120,130,130,140,150,200,310,1500,3100,3100
