Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/grpc-202308204,6733,0,120.0,123.21059002777952,100.6365220000589,600.70991900011,15.0,113.98610059924194,0.0,120,120,130,130,140,150,160,200,400,600,600
,Aggregated,6733,0,120.0,123.21059002777952,100.6365220000589,600.70991900011,15.0,113.98610059924194,0.0,120,120,130,130,140,150,160,200,400,600,600
